year,per_capita_gdp_current,num_movies,state,breweries,sightings_year,Urban,Suburban,Rural
1975,9340,5,FL,NA,21,NA,NA,NA
1976,9555,3,FL,NA,22,NA,NA,NA
1977,10310,3,FL,NA,14,NA,NA,NA
1978,11313,10,FL,NA,11,NA,NA,NA
1979,12493,4,FL,NA,11,NA,NA,NA
1980,13826,8,FL,NA,8,NA,NA,NA
1981,14966,4,FL,NA,8,NA,NA,NA
1982,15839,9,FL,NA,5,NA,NA,NA
1983,17043,10,FL,NA,7,NA,NA,NA
1984,18612,11,FL,NA,7,NA,NA,NA
1985,19931,9,FL,NA,16,NA,NA,NA
1986,21333,10,FL,NA,12,NA,NA,NA
1987,22729,10,FL,NA,12,NA,NA,NA
1988,24818,12,FL,3,13,NA,NA,NA
1989,26884,8,FL,6,16,NA,NA,NA
1990,29218,7,FL,7,8,NA,NA,NA
1991,30224,6,FL,13,8,NA,NA,NA
1992,31183,4,FL,17,14,NA,NA,NA
1993,31319,8,FL,22,9,NA,NA,NA
1994,31490,6,FL,27,22,NA,NA,NA
1995,31552,7,FL,36,51,NA,NA,NA
1996,31672,9,FL,62,44,NA,NA,NA
1997,32241,9,FL,86,47,NA,NA,NA
1997,31292,9,FL,86,47,NA,NA,NA
1998,30963,10,FL,96,105,NA,NA,NA
1999,32370,11,FL,97,107,NA,NA,NA
2e3,33990,14,FL,92,117,0.53,0.56,0.42
2001,34903,6,FL,84,143,0.55,0.59,0.46
2002,36451,9,FL,83,155,0.61,0.63,0.49
2003,38811,9,FL,78,205,0.64,0.65,0.51
2004,41856,7,FL,74,206,0.65,0.67,0.53
2005,44961,13,FL,69,244,0.69,0.7,0.6
2006,47097,6,FL,51,218,0.71,0.73,0.62
2007,49379,15,FL,50,264,0.75,0.77,0.63
2008,50088,16,FL,61,301,0.75,0.77,0.63
2009,48470,19,FL,52,252,0.73,0.76,0.68
2010,49673,7,FL,60,218,0.78,0.79,0.69
2011,50881,18,FL,71,337,0.8,0.82,0.73
2012,52265,12,FL,89,457,0.84,0.84,0.76
2013,53484,17,FL,113,543,0.86,0.85,0.78
2014,54516,11,FL,158,639,0.85,0.85,0.79
