year,state,sightings_year,breweries,per_capita_gdp_current,num_movies,Urban,Suburban,Rural
1974,AK,2,NA,8324,4,NA,NA,NA
1974,AL,5,NA,8324,4,NA,NA,NA
1974,AR,1,NA,8324,4,NA,NA,NA
1974,AZ,3,NA,8324,4,NA,NA,NA
1974,CA,29,NA,8324,4,NA,NA,NA
1974,CO,8,NA,8324,4,NA,NA,NA
1974,CT,5,NA,8324,4,NA,NA,NA
1974,DE,1,NA,8324,4,NA,NA,NA
1974,FL,13,NA,8324,4,NA,NA,NA
1974,GA,7,NA,8324,4,NA,NA,NA
1974,IA,2,NA,8324,4,NA,NA,NA
1974,ID,2,NA,8324,4,NA,NA,NA
1974,IL,9,NA,8324,4,NA,NA,NA
1974,IN,6,NA,8324,4,NA,NA,NA
1974,KS,5,NA,8324,4,NA,NA,NA
1974,KY,11,NA,8324,4,NA,NA,NA
1974,LA,10,NA,8324,4,NA,NA,NA
1974,MA,8,NA,8324,4,NA,NA,NA
1974,MD,3,NA,8324,4,NA,NA,NA
1974,ME,6,NA,8324,4,NA,NA,NA
1974,MI,12,NA,8324,4,NA,NA,NA
1974,MN,5,NA,8324,4,NA,NA,NA
1974,MO,6,NA,8324,4,NA,NA,NA
1974,MS,5,NA,8324,4,NA,NA,NA
1974,NC,9,NA,8324,4,NA,NA,NA
1974,ND,1,NA,8324,4,NA,NA,NA
1974,NH,1,NA,8324,4,NA,NA,NA
1974,NJ,8,NA,8324,4,NA,NA,NA
1974,NM,3,NA,8324,4,NA,NA,NA
1974,NY,12,NA,8324,4,NA,NA,NA
1974,OH,16,NA,8324,4,NA,NA,NA
1974,OK,5,NA,8324,4,NA,NA,NA
1974,OR,4,NA,8324,4,NA,NA,NA
1974,PA,9,NA,8324,4,NA,NA,NA
1974,RI,2,NA,8324,4,NA,NA,NA
1974,SC,3,NA,8324,4,NA,NA,NA
1974,TN,4,NA,8324,4,NA,NA,NA
1974,TX,12,NA,8324,4,NA,NA,NA
1974,UT,2,NA,8324,4,NA,NA,NA
1974,VA,4,NA,8324,4,NA,NA,NA
1974,VT,1,NA,8324,4,NA,NA,NA
1974,WA,12,NA,8324,4,NA,NA,NA
1974,WI,4,NA,8324,4,NA,NA,NA
1974,WV,3,NA,8324,4,NA,NA,NA
1975,AK,1,NA,9340,5,NA,NA,NA
1975,AL,6,NA,9340,5,NA,NA,NA
1975,AR,1,NA,9340,5,NA,NA,NA
1975,AZ,10,NA,9340,5,NA,NA,NA
1975,CA,24,NA,9340,5,NA,NA,NA
1975,CO,5,NA,9340,5,NA,NA,NA
1975,CT,11,NA,9340,5,NA,NA,NA
1975,FL,21,NA,9340,5,NA,NA,NA
1975,GA,5,NA,9340,5,NA,NA,NA
1975,IA,4,NA,9340,5,NA,NA,NA
1975,ID,3,NA,9340,5,NA,NA,NA
1975,IL,10,NA,9340,5,NA,NA,NA
1975,IN,11,NA,9340,5,NA,NA,NA
1975,KS,4,NA,9340,5,NA,NA,NA
1975,KY,8,NA,9340,5,NA,NA,NA
1975,LA,2,NA,9340,5,NA,NA,NA
1975,MA,8,NA,9340,5,NA,NA,NA
1975,MD,7,NA,9340,5,NA,NA,NA
1975,ME,3,NA,9340,5,NA,NA,NA
1975,MI,9,NA,9340,5,NA,NA,NA
1975,MN,9,NA,9340,5,NA,NA,NA
1975,MO,3,NA,9340,5,NA,NA,NA
1975,MS,6,NA,9340,5,NA,NA,NA
1975,MT,2,NA,9340,5,NA,NA,NA
1975,NC,7,NA,9340,5,NA,NA,NA
1975,ND,1,NA,9340,5,NA,NA,NA
1975,NH,2,NA,9340,5,NA,NA,NA
1975,NJ,8,NA,9340,5,NA,NA,NA
1975,NM,4,NA,9340,5,NA,NA,NA
1975,NV,6,NA,9340,5,NA,NA,NA
1975,NY,24,NA,9340,5,NA,NA,NA
1975,OH,11,NA,9340,5,NA,NA,NA
1975,OK,2,NA,9340,5,NA,NA,NA
1975,OR,2,NA,9340,5,NA,NA,NA
1975,PA,14,NA,9340,5,NA,NA,NA
1975,RI,3,NA,9340,5,NA,NA,NA
1975,SC,7,NA,9340,5,NA,NA,NA
1975,TN,3,NA,9340,5,NA,NA,NA
1975,TX,19,NA,9340,5,NA,NA,NA
1975,UT,2,NA,9340,5,NA,NA,NA
1975,VA,10,NA,9340,5,NA,NA,NA
1975,VT,1,NA,9340,5,NA,NA,NA
1975,WA,14,NA,9340,5,NA,NA,NA
1975,WI,10,NA,9340,5,NA,NA,NA
1975,WV,2,NA,9340,5,NA,NA,NA
1975,WY,1,NA,9340,5,NA,NA,NA
1976,AK,5,NA,9555,3,NA,NA,NA
1976,AL,2,NA,9555,3,NA,NA,NA
1976,AR,2,NA,9555,3,NA,NA,NA
1976,AZ,4,NA,9555,3,NA,NA,NA
1976,CA,34,NA,9555,3,NA,NA,NA
1976,CO,9,NA,9555,3,NA,NA,NA
1976,CT,6,NA,9555,3,NA,NA,NA
1976,DE,1,NA,9555,3,NA,NA,NA
1976,FL,22,NA,9555,3,NA,NA,NA
1976,GA,4,NA,9555,3,NA,NA,NA
1976,IA,3,NA,9555,3,NA,NA,NA
1976,IL,7,NA,9555,3,NA,NA,NA
1976,IN,4,NA,9555,3,NA,NA,NA
1976,KS,3,NA,9555,3,NA,NA,NA
1976,KY,10,NA,9555,3,NA,NA,NA
1976,LA,4,NA,9555,3,NA,NA,NA
1976,MA,7,NA,9555,3,NA,NA,NA
1976,MD,2,NA,9555,3,NA,NA,NA
1976,ME,6,NA,9555,3,NA,NA,NA
1976,MI,11,NA,9555,3,NA,NA,NA
1976,MN,7,NA,9555,3,NA,NA,NA
1976,MO,6,NA,9555,3,NA,NA,NA
1976,MS,5,NA,9555,3,NA,NA,NA
1976,MT,2,NA,9555,3,NA,NA,NA
1976,NC,4,NA,9555,3,NA,NA,NA
1976,ND,2,NA,9555,3,NA,NA,NA
1976,NE,1,NA,9555,3,NA,NA,NA
1976,NH,4,NA,9555,3,NA,NA,NA
1976,NJ,6,NA,9555,3,NA,NA,NA
1976,NM,3,NA,9555,3,NA,NA,NA
1976,NV,2,NA,9555,3,NA,NA,NA
1976,NY,16,NA,9555,3,NA,NA,NA
1976,OH,15,NA,9555,3,NA,NA,NA
1976,OK,3,NA,9555,3,NA,NA,NA
1976,OR,6,NA,9555,3,NA,NA,NA
1976,PA,12,NA,9555,3,NA,NA,NA
1976,RI,3,NA,9555,3,NA,NA,NA
1976,SC,2,NA,9555,3,NA,NA,NA
1976,SD,1,NA,9555,3,NA,NA,NA
1976,TN,5,NA,9555,3,NA,NA,NA
1976,TX,18,NA,9555,3,NA,NA,NA
1976,UT,2,NA,9555,3,NA,NA,NA
1976,VA,7,NA,9555,3,NA,NA,NA
1976,VT,2,NA,9555,3,NA,NA,NA
1976,WA,13,NA,9555,3,NA,NA,NA
1976,WI,3,NA,9555,3,NA,NA,NA
1976,WV,1,NA,9555,3,NA,NA,NA
1976,WY,2,NA,9555,3,NA,NA,NA
1977,AK,1,NA,10310,3,NA,NA,NA
1977,AL,3,NA,10310,3,NA,NA,NA
1977,AR,3,NA,10310,3,NA,NA,NA
1977,AZ,4,NA,10310,3,NA,NA,NA
1977,CA,42,NA,10310,3,NA,NA,NA
1977,CO,8,NA,10310,3,NA,NA,NA
1977,CT,7,NA,10310,3,NA,NA,NA
1977,FL,14,NA,10310,3,NA,NA,NA
1977,GA,4,NA,10310,3,NA,NA,NA
1977,HI,2,NA,10310,3,NA,NA,NA
1977,IA,1,NA,10310,3,NA,NA,NA
1977,ID,2,NA,10310,3,NA,NA,NA
1977,IL,12,NA,10310,3,NA,NA,NA
1977,IN,8,NA,10310,3,NA,NA,NA
1977,KS,1,NA,10310,3,NA,NA,NA
1977,KY,10,NA,10310,3,NA,NA,NA
1977,LA,3,NA,10310,3,NA,NA,NA
1977,MA,4,NA,10310,3,NA,NA,NA
1977,MD,7,NA,10310,3,NA,NA,NA
1977,ME,2,NA,10310,3,NA,NA,NA
1977,MI,8,NA,10310,3,NA,NA,NA
1977,MN,3,NA,10310,3,NA,NA,NA
1977,MO,6,NA,10310,3,NA,NA,NA
1977,MS,9,NA,10310,3,NA,NA,NA
1977,MT,1,NA,10310,3,NA,NA,NA
1977,NC,5,NA,10310,3,NA,NA,NA
1977,ND,2,NA,10310,3,NA,NA,NA
1977,NE,1,NA,10310,3,NA,NA,NA
1977,NH,10,NA,10310,3,NA,NA,NA
1977,NJ,1,NA,10310,3,NA,NA,NA
1977,NM,4,NA,10310,3,NA,NA,NA
1977,NV,2,NA,10310,3,NA,NA,NA
1977,NY,15,NA,10310,3,NA,NA,NA
1977,OH,10,NA,10310,3,NA,NA,NA
1977,OK,3,NA,10310,3,NA,NA,NA
1977,OR,6,NA,10310,3,NA,NA,NA
1977,PA,12,NA,10310,3,NA,NA,NA
1977,RI,3,NA,10310,3,NA,NA,NA
1977,SC,4,NA,10310,3,NA,NA,NA
1977,TN,2,NA,10310,3,NA,NA,NA
1977,TX,14,NA,10310,3,NA,NA,NA
1977,UT,1,NA,10310,3,NA,NA,NA
1977,VA,2,NA,10310,3,NA,NA,NA
1977,VT,3,NA,10310,3,NA,NA,NA
1977,WA,7,NA,10310,3,NA,NA,NA
1977,WI,5,NA,10310,3,NA,NA,NA
1977,WV,1,NA,10310,3,NA,NA,NA
1978,AK,3,NA,11313,10,NA,NA,NA
1978,AL,5,NA,11313,10,NA,NA,NA
1978,AZ,8,NA,11313,10,NA,NA,NA
1978,CA,54,NA,11313,10,NA,NA,NA
1978,CO,3,NA,11313,10,NA,NA,NA
1978,CT,4,NA,11313,10,NA,NA,NA
1978,FL,11,NA,11313,10,NA,NA,NA
1978,GA,7,NA,11313,10,NA,NA,NA
1978,HI,1,NA,11313,10,NA,NA,NA
1978,IA,2,NA,11313,10,NA,NA,NA
1978,ID,3,NA,11313,10,NA,NA,NA
1978,IL,9,NA,11313,10,NA,NA,NA
1978,IN,8,NA,11313,10,NA,NA,NA
1978,KS,3,NA,11313,10,NA,NA,NA
1978,KY,3,NA,11313,10,NA,NA,NA
1978,LA,6,NA,11313,10,NA,NA,NA
1978,MA,16,NA,11313,10,NA,NA,NA
1978,MD,1,NA,11313,10,NA,NA,NA
1978,ME,3,NA,11313,10,NA,NA,NA
1978,MI,23,NA,11313,10,NA,NA,NA
1978,MN,5,NA,11313,10,NA,NA,NA
1978,MO,9,NA,11313,10,NA,NA,NA
1978,MS,5,NA,11313,10,NA,NA,NA
1978,MT,2,NA,11313,10,NA,NA,NA
1978,NC,7,NA,11313,10,NA,NA,NA
1978,ND,2,NA,11313,10,NA,NA,NA
1978,NH,9,NA,11313,10,NA,NA,NA
1978,NJ,8,NA,11313,10,NA,NA,NA
1978,NM,5,NA,11313,10,NA,NA,NA
1978,NV,2,NA,11313,10,NA,NA,NA
1978,NY,20,NA,11313,10,NA,NA,NA
1978,OH,9,NA,11313,10,NA,NA,NA
1978,OK,1,NA,11313,10,NA,NA,NA
1978,OR,6,NA,11313,10,NA,NA,NA
1978,PA,17,NA,11313,10,NA,NA,NA
1978,RI,1,NA,11313,10,NA,NA,NA
1978,SC,4,NA,11313,10,NA,NA,NA
1978,SD,1,NA,11313,10,NA,NA,NA
1978,TN,8,NA,11313,10,NA,NA,NA
1978,TX,22,NA,11313,10,NA,NA,NA
1978,UT,1,NA,11313,10,NA,NA,NA
1978,VA,3,NA,11313,10,NA,NA,NA
1978,WA,14,NA,11313,10,NA,NA,NA
1978,WI,2,NA,11313,10,NA,NA,NA
1978,WV,2,NA,11313,10,NA,NA,NA
1978,WY,1,NA,11313,10,NA,NA,NA
1979,AL,1,NA,12493,4,NA,NA,NA
1979,AR,2,NA,12493,4,NA,NA,NA
1979,AZ,6,NA,12493,4,NA,NA,NA
1979,CA,38,NA,12493,4,NA,NA,NA
1979,CO,3,NA,12493,4,NA,NA,NA
1979,CT,1,NA,12493,4,NA,NA,NA
1979,FL,11,NA,12493,4,NA,NA,NA
1979,GA,6,NA,12493,4,NA,NA,NA
1979,HI,1,NA,12493,4,NA,NA,NA
1979,IA,2,NA,12493,4,NA,NA,NA
1979,IL,13,NA,12493,4,NA,NA,NA
1979,IN,6,NA,12493,4,NA,NA,NA
1979,KY,4,NA,12493,4,NA,NA,NA
1979,LA,5,NA,12493,4,NA,NA,NA
1979,MA,5,NA,12493,4,NA,NA,NA
1979,MD,5,NA,12493,4,NA,NA,NA
1979,ME,3,NA,12493,4,NA,NA,NA
1979,MI,12,NA,12493,4,NA,NA,NA
1979,MN,4,NA,12493,4,NA,NA,NA
1979,MO,5,NA,12493,4,NA,NA,NA
