state,year,region,sightings_per_100k,alienmovies_per_year,per_capita_gdp_current,Urban,Suburban,Rural,normalized_afb_count
AK,1985,West,0.4164915257134492,0.019148936170212766,19931,0,0,0,0
AL,1985,South,0.10107425934256753,0.019148936170212766,19931,0,0,0,0.2526856483564188
AR,1985,South,0.12994507525475754,0.019148936170212766,19931,0,0,0,0.4331502508491918
AZ,1985,West,0.1909548873520984,0.019148936170212766,19931,0,0,0,0.6365162911736613
CA,1985,West,0.10460618069401265,0.019148936170212766,19931,0,0,0,0.22415610148716994
CO,1985,West,0.06562873665073897,0.019148936170212766,19931,0,0,0,1.3125747330147792
CT,1985,Northeast,0.18758692911820757,0.019148936170212766,19931,0,0,0,0
FL,1985,South,0.14108268665031404,0.019148936170212766,19931,0,0,0,0.44088339578223135
GA,1985,South,0.08476977552679697,0.019148936170212766,19931,0,0,0,0.3390791021071879
HI,1985,West,0.28755470045899456,0.019148936170212766,19931,0,0,0,0
IL,1985,Midwest,0.03525270325945044,0.019148936170212766,19931,0,0,0,0.0881317581486261
IN,1985,Midwest,0.05470869541461286,0.019148936170212766,19931,0,0,0,0
KS,1985,Midwest,0.16587949120486348,0.019148936170212766,19931,0,0,0,0.4146987280121587
KY,1985,South,0.027303393534231803,0.019148936170212766,19931,0,0,0,0
LA,1985,South,0.07115876124318105,0.019148936170212766,19931,0,0,0,0.23719587081060348
MA,1985,Northeast,0.03413666527415544,0.019148936170212766,19931,0,0,0,0.17068332637077718
MD,1985,South,0.02227151692545272,0.019148936170212766,19931,0,0,0,0.2227151692545272
MI,1985,Midwest,0.043331648068244355,0.019148936170212766,19931,0,0,0,0
MN,1985,Midwest,0.04762125805485677,0.019148936170212766,19931,0,0,0,0
MO,1985,Midwest,0.1602382148037418,0.019148936170212766,19931,0,0,0,0.2002977685046773
NC,1985,South,0.145211647438342,0.019148936170212766,19931,0,0,0,0.32269254986298224
NE,1985,Midwest,0.191520101697174,0.019148936170212766,19931,0,0,0,0.63840033899058
NH,1985,Northeast,0.09807542172925127,0.019148936170212766,19931,0,0,0,0
NJ,1985,Northeast,0.09325542593720544,0.019148936170212766,19931,0,0,0,0
NM,1985,West,0.14250705688265666,0.019148936170212766,19931,0,0,0,2.1376058532398496
NV,1985,West,0.2083694709061413,0.019148936170212766,19931,0,0,0,2.083694709061413
NY,1985,Northeast,0.11323651341713083,0.019148936170212766,19931,0,0,0,0
OH,1985,Midwest,0.06492694262607174,0.019148936170212766,19931,0,0,0,0.09275277518010247
OK,1985,South,0.06481923504317984,0.019148936170212766,19931,0,0,0,0.9722885256476975
OR,1985,West,0.2207397301070505,0.019148936170212766,19931,0,0,0,0
PA,1985,Northeast,0.07600608609585531,0.019148936170212766,19931,0,0,0,0
SC,1985,South,0.09093413013466749,0.019148936170212766,19931,0,0,0,0.6062275342311166
TN,1985,South,0.042525635593797524,0.019148936170212766,19931,0,0,0,0.21262817796898761
