Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,year
3444165,300382,1770900,1923295,19953134,2207259,3031709,548104,6789443,4589575,768561,712567,11113976,5193669,2824376,2246578,3218706,3641306,992048,3922399,5689170,8875083,3804971,2216912,4676501,694409,1483493,488738,737681,7168164,1016e3,18236967,5082059,617761,10652017,2559229,2091385,11793909,946725,2590516,665507,3923687,11196730,1059273,444330,4648494,3409169,1744237,4417731,332416,1970
3521055.5855,304573.2765,1883530.598,1991177.89,20079408.9395,2317557.3695,3029244.796,552317.516,7062926.579,4689905.1575,790709.647,756064.9065,11203100.7225,5258256.241,2860207.742,2261894.9075,3305914.6985,3747936.6685,1005638.091,3929780.3755,5678481.468,8962846.9415,3838548.7635,2274075.7995,4713059.8615,712790.0235,1502246.025,526575.679,753573.719,7186454.4885,1053603.021,18104627.501,5188453.9685,625483.59,10689984.7705,2638314.175,2183641.1885,11817608.6135,942238.719,2661448.5595,671349.494,4037424.5635,11556933.513,1118359.6345,452142.806,4709135.2735,3490894.4165,1797912.5055,4464238.4555,359573.7955,1971
3589352.317333333,310402.7608888889,1990800.4373333333,2050559.5111111111,20271794.096,2416167.6471111113,3029453.496888889,556568.768,7342362.818666667,4785880.715555555,812261.8515555556,793990.272,11275917.155555556,5313147.510222223,2888695.967111111,2276143.222222222,3381568.8035555556,3841323.6302222223,1019226.9057777778,3942919.290666667,5671707.175111111,9037137.796444444,3870108.0124444445,2324032.6337777777,4745985.178666667,728681.968,1518211.2933333335,562118.2097777778,770180.6675555556,7204650.381333333,1088781.1813333333,17988097.314666666,5287039.168,632090.3422222222,10721277.321777778,2708767.0044444446,2265561.248,11836439.821333334,938938.4853333334,2727553.4915555557,676258.6675555556,4138299.2213333333,11900791.468444444,1172208.1093333333,459682.8791111111,4772063.283555555,3569774.7564444444,1842804.432888889,4505777.219555556,383186.0417777778,1972
3649618.0335,317752.42716666666,2093228.2110000001,2101997.098333333,20525931.6265,2503970.544833333,3032170.3386666668,560877.762,7627369.848,4878053.219166666,833229.9756666666,826736.0405,11333718.364166666,5359067.818666667,2910353.7823333335,2289423.0991666666,3446417.8211666667,3922252.336166667,1032787.5153333333,3961496.3535,5668668.884333333,9098919.268833334,3899865.867833333,2367252.5148333334,4775594.5005,742255.4945,1531590.895,595671.0913333333,787434.0246666666,7222901.7695,1121701.002,17886818.782,5378541.2395,637647.4466666667,10746447.321833333,2771118.0283333333,2337847.5445,11850836.5245,936756.963,2789157.643166667,680308.1496666666,4227218.3745,12229686.999333333,1221206.8815000001,466960.8103333333,4837186.431166667,3646091.3638333334,1879445.3901666666,4542735.230166666,403462.01183333335,1973
3702415.572,326504.24933333334,2191332.612,2146047.8866666667,20837463.688,2581846.7746666665,3037230.5573333334,565264.504,7917565.796,4966974.213333333,853626.3813333333,854695.156,11377797.413333334,5396742.1773333335,2925694.2946666665,2301834.6933333334,3501211.2573333336,3991508.237333333,1046292.9906666667,3985192.172,5669188.358666667,9149155.062666666,3928039.4506666665,2404205.4546666667,4802205.376,753681.264,1542586.92,627539.8226666667,805265.9693333333,7241358.744,1152529.004,17800234.244,5463686.824,642221.0933333334,10766047.438666666,2825897.7866666666,2401202.444,11861232.624,935626.816,2846587.8613333334,683571.5693333333,4305089.424,12545003.238666667,1265744.408,473987.19066666666,4904413.117333333,3720125.5826666667,1908367.9853333333,4575500.425333333,420610.97866666666,1974
3748307.7708333335,336540.2013888889,2285632.3333333335,2183269.111111111,21202032.4375,2650677.048611111,3044469.388888889,569749,8212568.791666666,5053195.243055556,873463.4305555555,878260.5625,11409447.368055556,5426895.597222222,2935230.611111111,2313478.159722222,3546698.6180555555,4049876.784722222,1059716.4027777778,4013687.3541666665,5673087.361111111,9188808.881944444,3954845.8819444445,2435361.465277778,4826135.354166667,763129.9375,1551401.4583333333,658029.9027777778,823608.6805555555,7260171.395833333,1181431.7083333333,17727786.041666668,5543202.5625,645877.4722222222,10780630.340277778,2873636.8194444445,2456328.3125,11868062.020833334,935480.7083333334,2900170.9930555555,686122.5555555555,4372819.770833333,12848123.319444444,1306209.1458333335,480772.6111111111,4973651.743055556,3792158.7569444445,1930104.826388889,4604460.743055556,434842.21527777775,1975
3787857.468,347742.2573333333,2376646.068,2214218.006666667,21615280.032,2711342.0786666665,3053722.0693333335,574351.256,8511996.964,5137267.8533333335,892753.4853333334,897825.204,11429961.293333333,5450253.089333333,2939475.8386666668,2324453.6533333333,3583629.4093333334,4098143.4293333334,1073030.8226666667,4046662.508,5680187.654666667,9218844.430666666,3980502.2826666664,2461190.5586666665,4847701.984,770772.176,1558236.6,687446.8306666666,842394.3373333333,7279489.816,1208575.636,17668916.516,5617815.096,648682.7733333333,10790748.694666667,2914865.6666666665,2503927.516,11871758.616,936251.304,2950233.885333333,688034.7373333334,4431316.816,13140430.374666667,1342989.5520000001,487327.66266666667,5044810.709333333,3862472.2306666668,1945188.5213333333,4630004.121333334,446364.99466666667,1976
3821627.5015000002,359992.39116666664,2464892.509,2239451.8083333336,22072848.6285,2764722.5768333334,3064823.8346666666,579091.278,8815468.442,5219743.589166666,911508.9076666667,913782.0245,11440632.254166666,5467539.664666667,2938943.084333333,2334861.3291666666,3612753.137166667,4137093.6221666667,1086209.3213333334,4083798.2415,5690311.002333334,9240225.412833333,4005225.7738333335,2482162.7468333333,4867222.8145,776778.6405,1563294.435,716096.1053333334,861555.1186666667,7299464.0955,1234127.308,17623068.008,5688251.0655000005,650703.1866666666,10796955.169833334,2950114.868333333,2544702.4205,11872756.3105,937871.267,2997103.3851666665,689381.7436666667,4481487.9605,13423307.537333332,1376474.0835,493662.9363333333,5117798.417166667,3931347.3478333335,1954151.6781666668,4652518.498166666,455388.58983333333,1977
3850180.709333333,373172.5768888889,2550890.3493333333,2259527.751111111,22570380.384,2811699.2551111113,3077609.9208888886,583989.072,9122601.354666665,5301173.995555555,929742.0595555556,926523.9680000001,11442753.315555556,5479480.334222222,2934145.455111111,2344801.342222222,3634819.3075555554,4167512.814222222,1099224.9697777778,4124775.162666667,5703279.167111111,9253915.532444445,4029233.4764444446,2498748.041777778,4885015.394666667,781319.992,1566777.0533333332,744283.2257777777,881023.2035555555,7320244.325333334,1258253.2453333333,17589682.858666666,5755237.112,652004.9022222222,10799802.433777777,2979914.9644444445,2579355.392,11871489.005333334,940273.2613333333,3041106.3395555555,690237.2035555555,4524240.605333334,13698137.940444443,1407051.1973333333,499789.02311111114,5192523.267555555,3999065.4524444444,1957526.9048888888,4672391.811555555,462122.2737777778,1978
3874079.9295,387164.7885,2635158.282,2275003.0700000003,23103517.4555,2853152.8255000003,3091915.564,589064.644,9433013.831,5382110.6175,947465.3030000001,936443.9785000001,11437617.5425,5486800.109,2925596.058,2354373.8475,3650577.4265,4190186.4565,1112050.839,4169273.8795,5718913.912,9260878.4935,4052742.5115,2511416.4555,4901397.2735,784566.8915,1568886.545,772313.691,900730.771,7341980.5965,1281119.969,17568203.408999998,5819499.8765,652654.11,10799843.1545,3004796.495,2608588.7965,11868390.6015,943389.951,3082569.5955,690674.746,4560482.1515,13966304.717,1435109.3505000002,505716.514,5268893.661499999,4065907.8885,1955846.8095,4690011.9995,466775.3195,1979
