year,state,region,sightings_per_100k
1974,AK,West,NA
1974,AL,South,NA
1974,AR,South,NA
1974,AZ,West,NA
1974,CA,West,NA
1974,CO,West,NA
1974,CT,Northeast,NA
1974,DE,South,NA
1974,FL,South,NA
1974,GA,South,NA
1974,IA,Midwest,NA
1974,ID,West,NA
1974,IL,Midwest,NA
1974,IN,Midwest,NA
1974,KS,Midwest,NA
1974,KY,South,NA
1974,LA,South,NA
1974,MA,Northeast,NA
1974,MD,South,NA
1974,ME,Northeast,NA
1974,MI,Midwest,NA
1974,MN,Midwest,NA
1974,MO,Midwest,NA
1974,MS,South,NA
1974,NC,South,NA
1974,ND,Midwest,NA
1974,NH,Northeast,NA
1974,NJ,Northeast,NA
1974,NM,West,NA
1974,NY,Northeast,NA
1974,OH,Midwest,NA
1974,OK,South,NA
1974,OR,West,NA
1974,PA,Northeast,NA
1974,RI,Northeast,NA
1974,SC,South,NA
1974,TN,South,NA
1974,TX,South,NA
1974,UT,West,NA
1974,VA,South,NA
1974,VT,Northeast,NA
1974,WA,West,NA
1974,WI,Midwest,NA
1974,WV,South,NA
1975,AK,West,NA
1975,AL,South,NA
1975,AR,South,NA
1975,AZ,West,NA
1975,CA,West,NA
1975,CO,West,NA
1975,CT,Northeast,NA
1975,FL,South,NA
1975,GA,South,NA
1975,IA,Midwest,NA
1975,ID,West,NA
1975,IL,Midwest,NA
1975,IN,Midwest,NA
1975,KS,Midwest,NA
1975,KY,South,NA
1975,LA,South,NA
1975,MA,Northeast,NA
1975,MD,South,NA
1975,ME,Northeast,NA
1975,MI,Midwest,NA
1975,MN,Midwest,NA
1975,MO,Midwest,NA
1975,MS,South,NA
1975,MT,West,NA
1975,NC,South,NA
1975,ND,Midwest,NA
1975,NH,Northeast,NA
1975,NJ,Northeast,NA
1975,NM,West,NA
1975,NV,West,NA
1975,NY,Northeast,NA
1975,OH,Midwest,NA
1975,OK,South,NA
1975,OR,West,NA
1975,PA,Northeast,NA
1975,RI,Northeast,NA
1975,SC,South,NA
1975,TN,South,NA
1975,TX,South,NA
1975,UT,West,NA
1975,VA,South,NA
1975,VT,Northeast,NA
1975,WA,West,NA
1975,WI,Midwest,NA
1975,WV,South,NA
1975,WY,West,NA
1976,AK,West,NA
1976,AL,South,NA
1976,AR,South,NA
1976,AZ,West,NA
1976,CA,West,NA
1976,CO,West,NA
1976,CT,Northeast,NA
1976,DE,South,NA
1976,FL,South,NA
1976,GA,South,NA
1976,IA,Midwest,NA
1976,IL,Midwest,NA
1976,IN,Midwest,NA
1976,KS,Midwest,NA
1976,KY,South,NA
1976,LA,South,NA
1976,MA,Northeast,NA
1976,MD,South,NA
1976,ME,Northeast,NA
1976,MI,Midwest,NA
1976,MN,Midwest,NA
